code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.590772,0.095366,0.192341,0.280581,919877,1559113.000,2
200,0.578242,0.024094,0.098991,0.186564,919564,1590941.000,2
200,0.559646,0.027925,0.185978,0.239690,919564,1645016.000,2
200,0.473492,0.022175,0.113409,0.152651,919877,1944771.000,2
200,0.428619,0.026040,0.107290,0.137102,919877,2149245.000,2
200,0.400339,0.036410,0.121304,0.167052,919877,2299692.000,2
200,0.485502,0.036936,0.133542,0.175774,919877,1896653.000,2
200,0.424658,0.024063,0.101524,0.135396,919877,2169521.000,2
200,0.442049,0.052601,0.121384,0.154809,919564,2080461.000,2
200,0.384030,0.022534,0.095267,0.129281,919877,2395513.000,2
200,0.490269,0.023364,0.096629,0.134844,919877,1877300.000,2
200,0.563203,0.045503,0.130731,0.162695,919877,1633884.000,2
200,0.430025,0.021115,0.097712,0.131024,919877,2139248.000,2
200,0.481306,0.025806,0.095472,0.130944,919564,1911775.000,2
200,0.591259,0.061529,0.133712,0.203080,919564,1555945.000,2
200,0.434879,0.027416,0.117482,0.188077,919877,2119532.000,2
200,0.485110,0.036305,0.132843,0.164330,919564,1896008.000,2
200,0.458167,0.063626,0.157601,0.200000,919877,2008465.000,2
200,0.457846,0.028481,0.105179,0.136428,919564,2012175.000,2
200,0.503134,0.030874,0.109178,0.159407,919564,1828159.000,2
200,0.376507,0.029626,0.104314,0.137374,919877,2446481.000,2
200,0.456912,0.028926,0.131239,0.169603,919877,2017274.000,2
200,0.416392,0.022762,0.117911,0.150688,919877,2211242.000,2
200,0.513691,0.026258,0.095676,0.130459,919877,1793132.000,2
200,0.506642,0.032536,0.115271,0.152406,919877,1817938.000,2
200,0.366215,0.027860,0.100977,0.132637,919564,2512469.000,2
200,0.406234,0.026269,0.108122,0.142928,919877,2265706.000,2
200,0.417903,0.030979,0.106882,0.139569,919877,2205940.000,2
200,0.414234,0.033762,0.103407,0.138873,919877,2221925.000,2
200,0.393662,0.024225,0.098741,0.130683,919877,2340653.000,2
200,0.406046,0.046268,0.125019,0.160893,919564,2264935.000,2
200,0.486474,0.028449,0.099025,0.138623,919877,1892751.000,2
200,0.445054,0.021541,0.096126,0.130809,919564,2066435.000,2
200,0.539930,0.021588,0.094094,0.171585,919877,1706636.000,2
200,0.481621,0.023448,0.091566,0.121638,919877,1912426.000,2
200,0.772981,0.033181,0.245707,0.302633,919564,1191145.000,2
200,0.454683,0.060182,0.137129,0.193179,919877,2026160.000,2
200,0.501335,0.030032,0.097242,0.127646,919564,1835457.000,2
200,0.401624,0.024297,0.099899,0.135078,919564,2293177.000,2
