code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,3.872214,0.097873,0.199519,0.253766,906419,234095.000,2
200,3.402680,0.036261,0.105897,0.220822,906419,266437.000,2
200,3.314942,0.042453,0.139259,0.187839,906419,273512.000,2
200,2.902301,0.020323,0.109900,0.138277,906419,312342.000,2
200,3.698202,0.035384,0.099142,0.129137,906419,245110.000,2
200,1.813006,0.022353,0.125092,0.173410,906419,499955.000,2
200,0.515847,0.029661,0.105276,0.166059,906419,1760036.000,2
200,0.740310,0.044945,0.125219,0.149763,906419,1224890.000,2
200,0.480328,0.035642,0.121166,0.151318,906419,1888372.000,2
200,0.389458,0.020393,0.091942,0.122499,906419,2330125.000,2
200,0.454811,0.024465,0.079931,0.112033,906419,1996517.000,2
200,0.434001,0.036791,0.096168,0.157526,906419,2088523.000,2
200,0.444220,0.030627,0.155426,0.184353,906419,2041484.000,2
200,0.374771,0.026141,0.095338,0.120771,906419,2423580.000,2
200,1.386360,0.025558,0.142048,0.195671,906419,653981.000,2
200,0.742723,0.075559,0.148834,0.178787,906419,1221588.000,2
200,0.563964,0.025112,0.106756,0.142220,906419,1609980.000,2
200,0.665841,0.063235,0.221883,0.255589,906419,1363036.000,2
200,0.728219,0.027943,0.140413,0.179519,906419,1245081.000,2
200,0.765648,0.023698,0.108381,0.141543,906419,1184861.000,2
200,0.762291,0.038524,0.106434,0.136042,906419,1189526.000,2
200,0.584858,0.033361,0.102191,0.139717,906419,1552087.000,2
200,0.598765,0.023806,0.112032,0.140827,906419,1515750.000,2
200,0.536327,0.024982,0.089357,0.127279,906419,1691080.000,2
200,0.644245,0.053470,0.125135,0.172949,906419,1407482.000,2
200,0.693855,0.026207,0.094540,0.120703,906419,1307963.000,2
200,0.746762,0.045431,0.111868,0.151711,906419,1215038.000,2
200,0.611760,0.028507,0.107805,0.143146,906419,1483500.000,2
200,0.692135,0.042958,0.240358,0.272048,906419,1309854.000,2
200,1.039407,0.032070,0.107670,0.158605,906419,872395.000,2
200,0.749319,0.052339,0.143716,0.172807,906419,1210172.000,2
200,0.576584,0.033653,0.121603,0.150580,906419,1573644.000,2
200,0.787649,0.130530,0.255366,0.281962,906419,1151739.000,2
200,0.573042,0.031330,0.096010,0.120983,906419,1581883.000,2
200,0.606619,0.022512,0.126935,0.152791,906419,1495740.000,2
200,0.721081,0.033944,0.103211,0.150003,906419,1257169.000,2
200,0.989245,0.025818,0.104219,0.130200,906419,916500.000,2
200,0.856907,0.055119,0.146034,0.187028,906419,1058900.000,2
200,2.140702,0.077314,0.149719,0.182214,906419,423560.000,2
200,0.525170,0.027385,0.118780,0.163348,906419,1726512.000,2
200,0.645138,0.025798,0.105630,0.141416,906419,1405300.000,2
200,0.432418,0.024138,0.109472,0.160848,906419,2098192.000,2
200,0.429613,0.024212,0.087027,0.121967,906419,2112864.000,2
200,0.439206,0.017893,0.087675,0.122213,906419,2064735.000,2
200,0.329737,0.022749,0.080527,0.109089,906419,2755072.000,2
200,0.972193,0.023108,0.082039,0.109519,906419,932529.000,2
200,0.355709,0.024165,0.088002,0.111071,906419,2553292.000,2
200,0.347803,0.021517,0.080470,0.125568,906419,2612158.000,2
200,0.334258,0.027231,0.082603,0.113660,906419,2713829.000,2
200,0.389072,0.052774,0.140760,0.174529,906419,2330125.000,2
200,0.517184,0.054545,0.114916,0.153250,906419,1753228.000,2
200,0.336622,0.021489,0.085069,0.114587,906419,2697675.000,2
200,0.374713,0.026144,0.095359,0.118392,906419,2423580.000,2
200,0.503581,0.022820,0.081753,0.144878,906419,1802025.000,2
200,0.446297,0.032856,0.093796,0.123308,906419,2032329.000,2
200,0.398162,0.021860,0.083677,0.109039,906419,2277434.000,2
200,0.629846,0.042564,0.112628,0.145668,906419,1441047.000,2
200,0.475202,0.044295,0.122232,0.155453,906419,1908250.000,2
200,0.522965,0.046505,0.103925,0.133876,906419,1736434.000,2
200,0.455692,0.080954,0.141733,0.170508,906419,1992129.000,2
200,0.767977,0.050953,0.119197,0.174695,906419,1181771.000,2
200,0.557779,0.022187,0.169265,0.204291,906419,1627323.000,2
200,0.458940,0.019117,0.084951,0.112813,906419,1979080.000,2
200,0.353297,0.023042,0.084195,0.111955,906419,2567759.000,2
200,0.360058,0.024052,0.096858,0.129627,906419,2517830.000,2
200,0.378138,0.031489,0.100983,0.128768,906419,2397933.000,2
200,0.350485,0.022310,0.081673,0.111110,906419,2589768.000,2
200,0.355269,0.021778,0.106153,0.132134,906419,2553292.000,2
200,0.403243,0.018604,0.111051,0.151093,906419,2249178.000,2
200,0.543203,0.023805,0.083043,0.133953,906419,1669279.000,2
200,0.568386,0.025808,0.111867,0.150329,906419,1595808.000,2
200,0.963844,0.047490,0.110111,0.177923,906419,941245.000,2
200,0.771350,0.039212,0.251688,0.307830,906419,1175640.000,2
200,0.492244,0.054370,0.167415,0.200001,906419,1842315.000,2
200,0.645682,0.022949,0.086013,0.118916,906419,1405300.000,2
200,0.487679,0.075712,0.149104,0.190930,906419,1861229.000,2
200,0.552220,0.025130,0.153616,0.191827,906419,1642063.000,2
200,0.434627,0.029560,0.087555,0.114229,906419,2088523.000,2
200,0.684323,0.029038,0.101357,0.152060,906419,1325173.000,2
200,0.420979,0.023462,0.149890,0.187369,906419,2158140.000,2
200,0.396762,0.035433,0.110537,0.146073,906419,2288936.000,2
200,0.703246,0.043464,0.146431,0.375690,906419,1289358.000,2
200,0.550373,0.048445,0.182659,0.207270,906419,1648034.000,2
200,0.499684,0.035517,0.101464,0.128139,906419,1816470.000,2
200,0.564468,0.057133,0.143834,0.213484,906419,1607125.000,2
200,0.410832,0.027569,0.095306,0.130264,906419,2210778.000,2
200,0.504373,0.170298,0.252158,0.279570,906419,1798450.000,2
200,0.521428,0.026681,0.086186,0.149518,906419,1739767.000,2
200,0.348025,0.043036,0.107959,0.134409,906419,2604652.000,2
200,0.341817,0.019114,0.080858,0.104514,906419,2658120.000,2
200,0.595268,0.021335,0.114500,0.141901,906419,1523393.000,2
200,0.619467,0.053968,0.130644,0.192249,906419,1464327.000,2
200,0.416593,0.024316,0.094246,0.134746,906419,2178891.000,2
200,0.389800,0.047825,0.121705,0.150757,906419,2330125.000,2
200,0.357110,0.021832,0.083677,0.123538,906419,2538988.000,2
200,0.353653,0.023893,0.088181,0.114232,906419,2567759.000,2
200,0.424063,0.035684,0.100170,0.138457,906419,2137780.000,2
200,0.451568,0.027974,0.090166,0.125498,906419,2009798.000,2
200,0.469574,0.030583,0.086619,0.117848,906419,1932663.000,2
200,0.380984,0.026281,0.091660,0.124913,906419,2385313.000,2
200,0.384972,0.019493,0.098090,0.126770,906419,2360466.000,2
200,0.465548,0.021508,0.137891,0.169498,906419,1949288.000,2
200,0.348844,0.022280,0.076963,0.108083,906419,2604652.000,2
200,0.398090,0.024743,0.096596,0.127629,906419,2277434.000,2
200,0.384841,0.024550,0.087952,0.117829,906419,2360466.000,2
200,0.393621,0.018389,0.088713,0.136565,906419,2306409.000,2
200,0.311606,0.024862,0.086182,0.111417,906419,2914530.000,2
