code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,1.278911,0.068777,0.147852,0.191916,906419,709248.000,1.1
200,3.223151,0.034961,0.313556,0.434550,906419,281234.000,1.1
200,0.485730,0.032512,0.119077,0.158580,906419,1868905.000,1.1
200,1.229764,0.038788,0.118526,0.157945,906419,737525.000,1.1
200,0.541674,0.038333,0.139166,0.182540,906419,1675451.000,1.1
200,0.419974,0.027014,0.099797,0.139643,906419,2163291.000,1.1
200,2.118816,0.024963,0.251800,0.288668,906419,427959.000,1.1
200,0.644200,0.033066,0.110434,0.147569,906419,1407482.000,1.1
200,1.073274,0.030967,0.104183,0.140456,906419,844752.000,1.1
200,0.485949,0.032856,0.105602,0.144011,906419,1868905.000,1.1
200,0.502329,0.027497,0.112967,0.154436,906419,1805615.000,1.1
200,2.381514,0.075083,0.382252,0.504967,906419,380688.000,1.1
200,0.463300,0.028610,0.122981,0.161323,906419,1957708.000,1.1
200,1.385744,0.034688,0.119092,0.156598,906419,654454.000,1.1
200,0.525001,0.060911,0.150199,0.191280,906419,1726512.000,1.1
200,0.618017,0.029223,0.119142,0.159202,906419,1466697.000,1.1
200,1.923232,0.029034,0.406350,0.503746,906419,471356.000,1.1
200,0.509285,0.037459,0.138044,0.179629,906419,1780783.000,1.1
200,0.475980,0.028586,0.118550,0.156572,906419,1908250.000,1.1
200,1.396719,0.036713,0.114277,0.153906,906419,649297.000,1.1
200,1.471850,0.027847,0.147356,0.187846,906419,616192.000,1.1
200,0.993566,0.201841,0.488567,0.660829,906419,912808.000,1.1
200,0.433444,0.043707,0.116125,0.148670,906419,2093346.000,1.1
200,0.517958,0.040781,0.122213,0.157355,906419,1753228.000,1.1
200,0.447306,0.034470,0.115107,0.147038,906419,2027782.000,1.1
200,0.529527,0.028067,0.110333,0.147139,906419,1713457.000,1.1
200,2.271088,0.031775,0.221196,0.266120,906419,399127.000,1.1
200,0.517015,0.054379,0.133614,0.173010,906419,1753228.000,1.1
200,1.364084,0.043028,0.145810,0.227905,906419,664530.000,1.1
200,1.590302,0.037195,0.205976,0.242284,906419,570074.000,1.1
200,2.687708,0.037981,0.346591,0.446464,906419,337334.000,1.1
200,1.901302,0.057989,0.207371,0.264824,906419,476811.000,1.1
200,0.548623,0.045208,0.141916,0.176112,906419,1654049.000,1.1
200,2.339389,0.045166,0.148792,0.310557,906419,387524.000,1.1
200,0.674745,0.102135,0.212675,0.255411,906419,1344835.000,1.1
200,0.662197,0.032104,0.116202,0.160828,906419,1369212.000,1.1
200,0.706550,0.032857,0.144843,0.189387,906419,1283879.000,1.1
200,0.736923,0.031070,0.105529,0.147957,906419,1231547.000,1.1
200,2.028583,0.031722,0.238462,0.335926,906419,446952.000,1.1
200,0.602584,0.032184,0.136622,0.176107,906419,1505679.000,1.1
200,1.670427,0.035423,0.144947,0.192825,906419,542765.000,1.1
200,1.108023,0.062273,0.177491,0.222615,906419,818067.000,1.1
200,2.680741,0.059389,0.218165,0.325431,906419,338216.000,1.1
200,0.713459,0.068734,0.180690,0.247961,906419,1271274.000,1.1
200,1.310068,0.054938,0.139477,0.181049,906419,691922.000,1.1
200,2.374194,0.045701,0.221876,0.349990,906419,381810.000,1.1
