code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,5.445661,1.107676,1.211298,4.936646,919564,168882.000,1.1
200,4.055914,0.072568,0.168093,3.433457,919564,226772.000,1.1
200,0.931930,0.045124,0.133060,0.180471,919564,987716.000,1.1
200,0.916337,0.044344,0.134534,0.179154,919564,1003890.000,1.1
200,0.616882,0.038234,0.128677,0.171022,919564,1492798.000,1.1
200,0.469536,0.043934,0.127201,0.167756,919564,1960690.000,1.1
200,0.768160,0.037307,0.124744,0.164305,919564,1197348.000,1.1
200,0.540633,0.031292,0.122366,0.165749,919564,1702896.000,1.1
200,0.617099,0.037329,0.122287,0.168887,919564,1490379.000,1.1
200,1.439045,0.045511,0.153333,0.257239,919564,639029.000,1.1
200,1.646152,0.040291,0.162599,0.306286,919564,558665.000,1.1
200,0.586010,0.032109,0.143044,0.202864,919564,1569221.000,1.1
200,1.281377,0.039829,0.142409,0.214978,919564,717848.000,1.1
200,0.619273,0.035682,0.140898,0.231025,919564,1485563.000,1.1
200,0.731706,0.071811,0.220117,0.265750,919564,1257953.000,1.1
200,0.732296,0.096106,0.191195,0.243512,919564,1256234.000,1.1
200,0.707538,0.031158,0.135215,0.207806,919564,1300656.000,1.1
200,1.243174,0.058378,0.162957,0.227043,919564,739794.000,1.1
200,0.706098,0.034106,0.127795,0.169661,919564,1302498.000,1.1
200,1.745354,0.032493,0.136052,0.213719,919564,526970.000,1.1
200,1.620509,0.044251,0.125230,0.172217,919564,567632.000,1.1
200,0.652200,0.055103,0.201035,0.244736,919564,1410374.000,1.1
200,0.663499,0.090084,0.195696,0.243584,919564,1386974.000,1.1
200,0.660611,0.027321,0.148494,0.191927,919564,1393278.000,1.1
200,1.761294,0.043416,0.157928,0.221980,919564,522182.000,1.1
200,1.455758,0.034074,0.130419,0.194149,919564,632002.000,1.1
200,0.574771,0.055454,0.181165,0.221561,919564,1602027.000,1.1
200,2.192789,0.040161,0.164780,0.210976,919564,419509.000,1.1
200,0.606841,0.038016,0.132401,0.189343,919564,1517432.000,1.1
200,1.966664,0.033372,0.150867,0.229002,919564,467733.000,1.1
200,0.630505,0.032506,0.123883,0.180619,919564,1459625.000,1.1
200,0.786713,0.071021,0.213030,0.255228,919564,1169928.000,1.1
200,0.610482,0.032880,0.118125,0.174189,919564,1507481.000,1.1
200,0.708063,0.096060,0.228124,0.306274,919564,1298819.000,1.1
200,1.803437,0.051456,0.159572,0.201424,919564,510018.000,1.1
200,1.829883,0.037192,0.173767,0.212679,919564,502768.000,1.1
200,0.893049,0.031876,0.169338,0.223792,919564,1029746.000,1.1
200,0.696251,0.072098,0.203908,0.254705,919564,1321212.000,1.1
200,0.578852,0.028276,0.109897,0.150042,919564,1590941.000,1.1
200,1.912261,0.045501,0.146606,0.213810,919564,480943.000,1.1
200,0.730417,0.029705,0.115326,0.167154,919564,1259676.000,1.1
200,1.649072,0.031089,0.144983,0.251928,919564,557649.000,1.1
200,0.799927,0.038676,0.125076,0.178074,919564,1150893.000,1.1
200,0.801003,0.080019,0.217876,0.262558,919564,1148019.000,1.1
200,0.883023,0.053218,0.232002,0.289221,919564,1041408.000,1.1
200,0.653009,0.036073,0.130985,0.168065,919564,1408214.000,1.1
200,0.865286,0.039000,0.127142,0.165826,919564,1063079.000,1.1
200,0.680734,0.040240,0.122797,0.164084,919564,1352300.000,1.1
200,0.923628,0.077922,0.167587,0.211048,919564,996277.000,1.1
200,1.147190,0.038214,0.136621,0.194659,919564,801712.000,1.1
200,2.271786,0.037886,0.188164,0.227934,919564,404915.000,1.1
200,1.859409,0.048790,0.273106,0.387871,919564,494655.000,1.1
200,0.662920,0.041150,0.159716,0.258483,919564,1389069.000,1.1
200,2.376943,0.086529,0.190246,0.232237,919564,387021.000,1.1
200,1.823850,0.034530,0.137116,0.190278,919564,504423.000,1.1
200,1.574855,0.042866,0.215113,0.268571,919564,584221.000,1.1
200,0.807162,0.042021,0.168672,0.397586,919564,1139484.000,1.1
200,0.783760,0.095065,0.223854,0.271760,919564,1174411.000,1.1
200,0.738260,0.036822,0.151507,0.236850,919564,1246021.000,1.1
200,1.555617,0.040119,0.188041,0.233196,919564,591359.000,1.1
200,0.700116,0.073176,0.160305,0.197082,919564,1313662.000,1.1
200,2.001255,0.069336,0.162272,0.212820,919564,459552.000,1.1
200,1.627947,0.029781,0.133908,0.200307,919564,565189.000,1.1
200,0.705965,0.037958,0.133513,0.185049,919564,1304346.000,1.1
