code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.633996,0.086949,0.154227,0.249838,898662,1419687.000,2
200,0.391776,0.026692,0.094033,0.127053,898662,2298368.000,2
200,0.493894,0.024732,0.088521,0.122546,898662,1822843.000,2
200,0.448121,0.030293,0.132924,0.164782,898662,2005941.000,2
200,0.765923,0.025883,0.105670,0.201843,898799,1174900.000,2
200,0.479670,0.031225,0.104145,0.141186,898662,1876121.000,2
200,0.582672,0.025638,0.153450,0.188320,898662,1544092.000,2
200,0.445417,0.027448,0.100505,0.133535,898662,2019465.000,2
200,0.472392,0.037097,0.111480,0.168004,898662,1903944.000,2
200,0.386624,0.027971,0.096040,0.122934,898662,2328139.000,2
200,0.457158,0.089126,0.154289,0.188128,898799,1966737.000,2
200,0.408531,0.026234,0.105777,0.137759,898799,2202938.000,2
200,0.429122,0.021560,0.096706,0.131398,898662,2094783.000,2
200,0.481781,0.021746,0.092323,0.127883,898662,1868320.000,2
200,0.524274,0.028704,0.095936,0.132039,898662,1715003.000,2
200,0.465957,0.047180,0.118295,0.152945,898799,1932901.000,2
200,0.528543,0.022905,0.132775,0.182735,898799,1702270.000,2
200,0.544796,0.033232,0.164855,0.200841,898662,1651952.000,2
200,0.838575,0.068860,0.175921,0.259746,898662,1072389.000,2
200,0.789421,0.033277,0.201265,0.231898,898662,1138988.000,2
200,0.540441,0.040899,0.109216,0.143461,898662,1664188.000,2
200,0.665836,0.023330,0.120838,0.156259,898799,1351577.000,2
200,0.732490,0.023646,0.141596,0.179192,898799,1227867.000,2
200,0.837284,0.034635,0.186300,0.222540,898662,1073670.000,2
200,0.564936,0.030733,0.121951,0.164826,898799,1593615.000,2
200,0.481977,0.029731,0.102702,0.136473,898799,1868604.000,2
200,0.545801,0.028415,0.130095,0.181432,898799,1649172.000,2
200,0.744922,0.040303,0.291916,0.326917,898799,1208063.000,2
200,0.480221,0.025699,0.095554,0.129344,898662,1872212.000,2
200,0.768659,0.026451,0.095868,0.133247,898662,1170132.000,2
200,0.547333,0.026596,0.096603,0.127797,898662,1642892.000,2
200,0.514139,0.026157,0.103883,0.139554,898799,1748636.000,2
200,0.606889,0.025009,0.093712,0.124808,898662,1482940.000,2
200,0.674099,0.027965,0.159799,0.193640,898799,1333529.000,2
200,0.564665,0.028814,0.094673,0.131961,898799,1593615.000,2
200,0.503882,0.025403,0.092802,0.141444,898662,1786604.000,2
200,0.433933,0.027278,0.094475,0.147535,898662,2075431.000,2
200,0.430169,0.025952,0.089309,0.142211,898662,2089911.000,2
200,0.937343,0.050536,0.184474,0.603651,898799,959230.000,2
200,0.481763,0.021609,0.084712,0.125774,898662,1868320.000,2
200,0.617921,0.028869,0.094248,0.124900,898799,1456724.000,2
200,0.525073,0.030578,0.098831,0.133916,898662,1711737.000,2
200,0.556010,0.076448,0.144281,0.178640,898799,1616544.000,2
200,0.572167,0.040468,0.151964,0.186493,898662,1571087.000,2
200,0.434629,0.025295,0.119459,0.155513,898662,2070649.000,2
200,0.508392,0.024378,0.093468,0.125640,898662,1769019.000,2
200,0.415595,0.028526,0.103906,0.137713,898799,2165780.000,2
200,0.486050,0.022833,0.089695,0.122847,898662,1849098.000,2
200,0.388805,0.026145,0.092057,0.119687,898799,2316492.000,2
200,0.451443,0.027710,0.093478,0.128199,898799,1992902.000,2
200,0.745634,0.033863,0.124983,0.201296,898662,1206257.000,2
200,0.664959,0.020852,0.113106,0.144261,898662,1353406.000,2
200,0.868957,0.046196,0.138144,0.174013,898799,1035482.000,2
200,0.432543,0.034454,0.099627,0.131856,898799,2080553.000,2
200,0.444246,0.027109,0.113347,0.149075,898799,2024322.000,2
200,0.609743,0.026137,0.117725,0.153571,898799,1475860.000,2
200,0.728763,0.030198,0.168334,0.202532,898662,1234425.000,2
200,0.999222,0.026704,0.099146,0.132597,898662,899561.000,2
200,1.217551,0.031759,0.143283,0.179631,898662,738423.000,2
200,1.060908,0.027201,0.094482,0.128115,898662,847794.000,2
200,0.593204,0.022306,0.094983,0.134613,898662,1515450.000,2
200,0.474409,0.030836,0.149794,0.208209,898799,1896200.000,2
200,0.445507,0.030389,0.102849,0.137695,898799,2019773.000,2
200,0.468237,0.025156,0.096575,0.124468,898662,1920217.000,2
200,0.475541,0.022932,0.098438,0.131072,898662,1891920.000,2
200,0.692592,0.026999,0.097068,0.128476,898662,1298644.000,2
200,0.539260,0.068214,0.164302,0.193989,898799,1667530.000,2
200,0.509733,0.023594,0.096194,0.127337,898662,1765544.000,2
200,0.571824,0.027310,0.091745,0.144689,898662,1573838.000,2
200,0.594846,0.044718,0.160742,0.191668,898662,1512898.000,2
200,0.471511,0.025113,0.113992,0.146084,898799,1908278.000,2
200,0.630840,0.041605,0.147861,0.182828,898662,1426447.000,2
200,0.501189,0.054253,0.120876,0.155039,898662,1793736.000,2
200,0.867014,0.028054,0.104612,0.141449,898799,1036677.000,2
200,0.939836,0.025030,0.112503,0.155702,898799,957187.000,2
200,0.554619,0.078618,0.155082,0.185797,898799,1622380.000,2
200,0.496102,0.029261,0.095575,0.126370,898662,1811818.000,2
200,0.946667,0.101503,0.172731,0.304241,898662,949959.000,2
200,0.792216,0.041278,0.136009,0.231685,898799,1134847.000,2
200,0.944340,0.024490,0.091935,0.145234,898799,952117.000,2
200,1.015196,0.028080,0.095664,0.130130,898662,885381.000,2
200,0.597568,0.024637,0.093988,0.128215,898799,1505525.000,2
200,0.982411,0.090776,0.157691,0.188345,898799,915273.000,2
200,0.779211,0.026166,0.107790,0.140415,898662,1153609.000,2
200,0.587241,0.044542,0.147451,0.186801,898662,1530940.000,2
200,0.546271,0.023991,0.101462,0.131379,898662,1645901.000,2
200,0.583300,0.030024,0.102548,0.135960,898799,1541679.000,2
200,0.530905,0.028568,0.101875,0.135801,898662,1695588.000,2
200,0.452212,0.023176,0.095969,0.129462,898799,1988493.000,2
200,0.474331,0.027027,0.094448,0.126658,898662,1895911.000,2
200,0.532491,0.023328,0.098115,0.128214,898799,1689471.000,2
200,0.413083,0.027649,0.102447,0.137413,898662,2175937.000,2
200,0.675270,0.029282,0.122212,0.153745,898662,1331351.000,2
200,0.484677,0.030930,0.096368,0.128415,898662,1856739.000,2
200,0.531179,0.038011,0.114326,0.163451,898662,1692395.000,2
200,0.442868,0.024770,0.091353,0.120866,898799,2033481.000,2
200,0.623425,0.023896,0.090815,0.126034,898662,1442475.000,2
200,0.431925,0.025919,0.112576,0.145007,898662,2085062.000,2
200,0.418067,0.025793,0.091859,0.126115,898799,2150236.000,2
200,0.547144,0.026975,0.094160,0.126433,898799,1643142.000,2
200,0.762403,0.025711,0.096442,0.126837,898799,1179526.000,2
200,0.798780,0.034934,0.132176,0.164216,898662,1126142.000,2
200,0.412470,0.045116,0.107864,0.139256,898662,2181218.000,2
200,0.562731,0.042678,0.107919,0.148149,898799,1599286.000,2
200,0.921711,0.044999,0.125411,0.183236,898799,975894.000,2
200,0.626791,0.022768,0.094010,0.124338,898662,1435562.000,2
200,0.694187,0.032468,0.100228,0.134082,898799,1295099.000,2
200,0.530376,0.033983,0.101974,0.132970,898662,1695588.000,2
200,0.604247,0.029432,0.113456,0.155422,898799,1488077.000,2
200,0.472002,0.025792,0.093665,0.124683,898799,1904235.000,2
200,0.484058,0.026026,0.093706,0.132241,898662,1856739.000,2
200,0.501382,0.023723,0.095904,0.127065,898662,1793736.000,2
200,0.490166,0.024924,0.118418,0.152397,898662,1834004.000,2
200,0.510234,0.026948,0.101174,0.134521,898662,1762082.000,2
200,0.554500,0.027795,0.093609,0.131675,898799,1622380.000,2
200,0.574387,0.022192,0.103786,0.145816,898799,1565851.000,2
200,0.553064,0.074167,0.146847,0.176092,898662,1625066.000,2
200,0.493605,0.025364,0.093929,0.127879,898662,1822843.000,2
200,0.517537,0.032779,0.101373,0.130258,898799,1738489.000,2
200,0.679892,0.096261,0.171653,0.204300,898662,1323508.000,2
200,0.484431,0.037547,0.121034,0.185400,898799,1857022.000,2
200,0.529722,0.026223,0.090160,0.118967,898662,1698793.000,2
200,0.733281,0.049124,0.128006,0.165245,898799,1226192.000,2
200,0.507621,0.032701,0.096079,0.123305,898799,1772779.000,2
200,0.438399,0.025182,0.095968,0.124805,898662,2051739.000,2
200,0.811907,0.022789,0.092915,0.124488,898799,1108260.000,2
200,0.677174,0.024809,0.096432,0.125573,898662,1327418.000,2
200,0.996063,0.024987,0.142811,0.195577,898799,902408.000,2
200,0.954269,0.098454,0.333343,0.366624,898662,941993.000,2
200,0.633601,0.078834,0.178197,0.214063,898799,1419903.000,2
200,0.747283,0.026901,0.098161,0.128795,898662,1203028.000,2
200,0.816460,0.026295,0.091544,0.120698,898799,1101469.000,2
200,0.801039,0.034819,0.181168,0.211378,898799,1122096.000,2
200,0.619467,0.043945,0.108301,0.137036,898662,1451796.000,2
200,0.451558,0.034443,0.099389,0.137271,898799,1992902.000,2
200,0.666268,0.051931,0.267443,0.295414,898662,1349342.000,2
200,0.478187,0.040256,0.111401,0.145723,898799,1880332.000,2
200,0.442554,0.040435,0.111411,0.149738,898799,2033481.000,2
200,0.471418,0.031193,0.109622,0.140808,898662,1907987.000,2
200,0.396078,0.031250,0.099022,0.128880,898662,2269348.000,2
200,0.573285,0.077016,0.201265,0.234332,898799,1568584.000,2
200,0.426952,0.025654,0.105562,0.135795,898662,2109535.000,2
200,0.706017,0.026143,0.089045,0.122599,898662,1272892.000,2
200,0.620733,0.020972,0.091234,0.120878,898662,1449454.000,2
200,0.516761,0.024341,0.091070,0.125005,898662,1741593.000,2
200,0.566961,0.022444,0.094663,0.129534,898662,1587742.000,2
200,0.722641,0.054743,0.140367,0.172544,898799,1244873.000,2
200,0.994610,0.029653,0.111396,0.150567,898799,904224.000,2
200,0.872428,0.074321,0.140357,0.229989,898799,1030732.000,2
200,0.652501,0.022710,0.095235,0.128736,898799,1378526.000,2
200,0.403524,0.037993,0.104510,0.142927,898662,2229930.000,2
200,0.449073,0.041194,0.117190,0.146067,898662,2001474.000,2
200,0.440286,0.022663,0.099486,0.127245,898799,2042725.000,2
200,0.604850,0.084005,0.148277,0.189612,898799,1488077.000,2
200,0.499517,0.025153,0.093135,0.121026,898662,1800925.000,2
200,0.438382,0.031393,0.099323,0.131014,898799,2052052.000,2
200,0.481080,0.025062,0.091837,0.122848,898799,1868604.000,2
200,0.522171,0.022858,0.098167,0.134518,898662,1721574.000,2
200,0.480458,0.032088,0.115377,0.144575,898799,1872497.000,2
200,0.498935,0.025831,0.090612,0.129553,898799,1804817.000,2
200,0.440111,0.027425,0.100174,0.130113,898799,2042725.000,2
200,0.431321,0.036476,0.107611,0.140995,898799,2085380.000,2
200,0.492263,0.027905,0.092291,0.123075,898799,1826827.000,2
200,0.537776,0.036643,0.103657,0.138655,898662,1673486.000,2
