code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.894336,0.160799,0.269831,0.313864,898799,1005368.000,1.1
200,0.988980,0.049085,0.150335,0.194662,898799,909715.000,1.1
200,1.715752,0.149905,0.347841,0.425918,898799,524081.000,1.1
200,0.929449,0.036224,0.137818,0.183704,898662,967343.000,1.1
200,0.997644,0.037297,0.127202,0.162980,898799,901503.000,1.1
200,0.569626,0.048063,0.135312,0.179920,898662,1579370.000,1.1
200,1.096229,0.064658,0.150485,0.223293,898662,819947.000,1.1
200,0.851909,0.032565,0.120786,0.168839,898799,1056168.000,1.1
200,0.951888,0.033427,0.129653,0.168939,898662,944965.000,1.1
200,1.415009,0.039420,0.128173,0.189146,898662,635096.000,1.1
200,1.148719,0.044552,0.128736,0.167275,898662,782806.000,1.1
200,1.670179,0.044042,0.130995,0.170513,898799,538202.000,1.1
200,0.731059,0.043454,0.125776,0.165298,898799,1229547.000,1.1
200,1.091329,0.032927,0.123631,0.166197,898662,823704.000,1.1
200,0.643125,0.043452,0.126412,0.176304,898799,1397821.000,1.1
200,0.635947,0.037484,0.123131,0.167016,898662,1415215.000,1.1
200,1.070549,0.042120,0.198804,0.269479,898799,839999.000,1.1
200,0.506960,0.044253,0.127765,0.170754,898662,1776011.000,1.1
200,0.528405,0.038960,0.123864,0.169249,898662,1702011.000,1.1
200,0.882990,0.037765,0.121839,0.161480,898799,1019046.000,1.1
200,0.571135,0.037284,0.146036,0.189010,898662,1573838.000,1.1
200,1.305335,0.035559,0.121635,0.166029,898799,688734.000,1.1
200,0.852443,0.037564,0.164993,0.244655,898662,1054767.000,1.1
200,1.540366,0.049293,0.138386,0.191176,898662,583546.000,1.1
200,0.526195,0.035890,0.120697,0.163375,898662,1708482.000,1.1
200,1.001441,0.040418,0.125198,0.186943,898799,897901.000,1.1
200,1.428291,0.078728,0.175683,0.223484,898662,629315.000,1.1
200,0.718247,0.032450,0.116700,0.160939,898662,1251618.000,1.1
200,1.089605,0.031924,0.111405,0.151823,898799,825343.000,1.1
200,1.225313,0.035227,0.125350,0.166112,898799,733713.000,1.1
200,0.618436,0.032402,0.117323,0.156138,898799,1454367.000,1.1
200,0.753253,0.039501,0.118647,0.156092,898799,1193624.000,1.1
