code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,5.062275,0.146387,0.468511,0.679165,898380,177475.000,1.1
200,0.602236,0.031145,0.133935,0.175805,898380,1492325.000,1.1
200,0.577587,0.031268,0.108874,0.148833,898380,1556984.000,1.1
200,0.503073,0.051014,0.137224,0.174270,898380,1786043.000,1.1
200,0.480798,0.031888,0.131080,0.162367,898380,1871625.000,1.1
200,0.565524,0.047592,0.140664,0.171936,898380,1590053.000,1.1
200,0.516931,0.041244,0.116528,0.148200,898380,1741046.000,1.1
200,0.483175,0.034586,0.127921,0.160915,898380,1860000.000,1.1
200,0.471425,0.043465,0.125472,0.156152,898380,1907388.000,1.1
200,0.501515,0.030447,0.108880,0.141399,898380,1793173.000,1.1
200,0.508625,0.034757,0.123069,0.153871,898380,1768464.000,1.1
200,0.560586,0.046851,0.133077,0.166648,898380,1604250.000,1.1
200,1.119136,0.034826,0.108629,0.143063,898380,802841.000,1.1
200,0.555612,0.081855,0.165575,0.198257,898611,1619118.000,1.1
200,0.506210,0.035865,0.147032,0.185690,898611,1775911.000,1.1
200,0.694311,0.035469,0.227335,0.263378,898512,1294685.000,1.1
200,0.531048,0.035816,0.119727,0.149091,898611,1692299.000,1.1
200,0.490743,0.047127,0.142060,0.173582,898512,1833697.000,1.1
200,0.531383,0.028233,0.112173,0.144376,898611,1692299.000,1.1
200,0.928104,0.034476,0.107783,0.140032,898512,968224.000,1.1
200,0.514632,0.034350,0.116612,0.159040,898512,1748077.000,1.1
200,0.474431,0.031663,0.111949,0.145922,898512,1895594.000,1.1
200,0.536906,0.043263,0.140981,0.179130,898611,1676513.000,1.1
200,0.457382,0.034207,0.116625,0.147757,898611,1966326.000,1.1
200,0.459808,0.043023,0.123445,0.157091,898512,1957542.000,1.1
200,0.514541,0.031359,0.109367,0.138515,898611,1748270.000,1.1
200,0.469168,0.028740,0.106732,0.138304,898512,1915803.000,1.1
200,0.502628,0.029968,0.117718,0.159573,898611,1790061.000,1.1
200,0.492567,0.028026,0.113407,0.147098,898512,1826243.000,1.1
200,0.503364,0.037011,0.122373,0.158167,898611,1786502.000,1.1
200,0.575497,0.033784,0.115453,0.162824,898512,1562629.000,1.1
200,0.511429,0.029284,0.116987,0.147966,898512,1758340.000,1.1
200,0.472998,0.032888,0.109456,0.150667,898611,1903836.000,1.1
200,1.522690,0.029752,0.116131,0.149796,898611,590414.000,1.1
200,0.524522,0.036744,0.117858,0.152668,898611,1714906.000,1.1
200,0.527041,0.073878,0.155071,0.184486,898611,1705144.000,1.1
200,0.645623,0.028505,0.120115,0.164900,898512,1393041.000,1.1
200,0.500327,0.028291,0.105050,0.135135,898611,1797222.000,1.1
