code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.532612,0.036850,0.123674,0.154541,898512,1688932.000,1.1
200,0.502399,0.030445,0.122385,0.161538,898611,1790061.000,1.1
200,1.508571,0.031946,0.112979,0.150243,898611,595895.000,1.1
200,0.713875,0.035972,0.126395,0.244472,898512,1260185.000,1.1
200,0.692970,0.031580,0.133401,0.263026,898512,1298427.000,1.1
200,0.641316,0.049304,0.185843,0.230483,898611,1401889.000,1.1
200,0.899415,0.041077,0.120641,0.166089,898512,999457.000,1.1
200,0.560960,0.045275,0.135197,0.170982,898611,1604662.000,1.1
200,0.537693,0.032476,0.138522,0.172580,898512,1673206.000,1.1
200,0.587357,0.034055,0.115850,0.186381,898512,1530684.000,1.1
200,1.546392,0.042243,0.150868,0.187017,898611,581249.000,1.1
200,0.506409,0.035184,0.131898,0.171407,898611,1775911.000,1.1
200,1.547219,0.042161,0.118648,0.155090,898611,580873.000,1.1
200,0.568988,0.030085,0.110186,0.144528,898611,1582061.000,1.1
200,0.558586,0.049916,0.128247,0.166112,898512,1610236.000,1.1
200,0.715160,0.027536,0.109428,0.146827,898512,1256660.000,1.1
200,0.560094,0.037443,0.119953,0.149942,898611,1604662.000,1.1
200,0.576682,0.042235,0.138862,0.180439,898512,1559916.000,1.1
200,1.265363,0.074654,0.148209,0.186599,898512,710286.000,1.1
200,0.556688,0.030001,0.100964,0.135788,898611,1616206.000,1.1
200,0.629734,0.163706,0.243535,0.308240,898512,1428476.000,1.1
200,0.554012,0.041149,0.136168,0.174658,898512,1621862.000,1.1
200,0.478837,0.030403,0.110761,0.164048,898512,1879732.000,1.1
200,1.642447,0.049409,0.130323,0.168891,898611,547266.000,1.1
200,0.503253,0.038043,0.134208,0.165870,898611,1786502.000,1.1
200,0.940524,0.041487,0.139529,0.173134,898512,955863.000,1.1
200,1.757803,0.031928,0.422374,0.460338,898611,511446.000,1.1
200,0.508410,0.034804,0.119205,0.150393,898611,1768919.000,1.1
200,0.601608,0.039442,0.119512,0.164153,898512,1495028.000,1.1
200,0.614148,0.055279,0.140982,0.184364,898512,1463374.000,1.1
200,0.633670,0.034362,0.181400,0.212368,898512,1419450.000,1.1
200,1.383136,0.048046,0.134307,0.179432,898611,649754.000,1.1
200,0.596572,0.045939,0.137920,0.176496,898512,1507570.000,1.1
200,0.575616,0.067831,0.181651,0.213236,898512,1562629.000,1.1
200,0.504078,0.039603,0.115353,0.148124,898512,1782761.000,1.1
200,1.143941,0.036570,0.133828,0.203899,898611,786186.000,1.1
200,0.764217,0.215972,0.305193,0.349345,898611,1176192.000,1.1
200,0.530177,0.026709,0.099740,0.139073,898611,1695492.000,1.1
200,0.557749,0.028340,0.100066,0.140716,898512,1613127.000,1.1
200,0.929515,0.028678,0.111201,0.146571,898611,967288.000,1.1
200,0.546644,0.036916,0.118758,0.156317,898611,1645807.000,1.1
200,0.544857,0.033459,0.193902,0.223240,898512,1651676.000,1.1
200,0.461598,0.031924,0.109311,0.143573,898512,1949049.000,1.1
200,1.473195,0.035969,0.115863,0.147722,898611,610054.000,1.1
200,1.993531,0.032651,1.184554,1.219412,898512,450833.000,1.1
