code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.147195,0.033865,0.108602,0.146287,1770,12040.000,1.1
200,0.151332,0.036449,0.115194,0.149944,1770,11721.000,1.1
200,0.162808,0.036819,0.122251,0.162022,1770,10925.000,1.1
200,0.162586,0.031047,0.127233,0.161582,1770,10925.000,1.1
200,0.166909,0.038380,0.126055,0.166132,1770,10662.000,1.1
200,0.168416,0.038638,0.126143,0.167250,1770,10535.000,1.1
200,0.159379,0.031950,0.119662,0.158469,1770,11132.000,1.1
200,0.167831,0.037401,0.118576,0.167740,1770,10598.000,1.1
200,0.161304,0.031915,0.114769,0.159609,1770,10993.000,1.1
200,0.184855,0.030499,0.139884,0.184646,1770,9619.000,1.1
200,0.158508,0.033683,0.121155,0.157714,1770,11202.000,1.1
200,0.170310,0.039334,0.127653,0.167980,1770,10411.000,1.1
200,0.174243,0.035226,0.132141,0.173539,1770,10172.000,1.1
200,0.171724,0.034936,0.137199,0.170844,1770,10350.000,1.1
200,0.181185,0.035476,0.125765,0.180916,1770,9779.000,1.1
200,0.159856,0.032670,0.118575,0.158510,1770,11132.000,1.1
200,0.157439,0.030255,0.111301,0.155960,1770,11273.000,1.1
200,0.163251,0.039306,0.120567,0.162204,1770,10858.000,1.1
200,0.175178,0.037370,0.117317,0.173744,1770,10114.000,1.1
200,0.157529,0.035998,0.117858,0.156741,1770,11273.000,1.1
200,0.172224,0.045366,0.124329,0.170957,1770,10290.000,1.1
200,0.195614,0.047099,0.130543,0.194522,1770,9076.000,1.1
200,0.161056,0.041520,0.117161,0.160074,1770,10993.000,1.1
200,0.193297,0.058488,0.146612,0.192948,1770,9170.000,1.1
200,0.242854,0.050403,0.138607,0.242743,1770,7314.000,1.1
200,0.182686,0.041213,0.144097,0.181556,1770,9725.000,1.1
200,0.155173,0.031296,0.114580,0.154311,1770,11419.000,1.1
200,0.170176,0.047036,0.127396,0.169065,1770,10411.000,1.1
200,0.158541,0.032718,0.118849,0.157390,1770,11202.000,1.1
200,0.162307,0.035594,0.122815,0.161334,1770,10925.000,1.1
200,0.152791,0.030462,0.112983,0.152071,1770,11644.000,1.1
200,0.175846,0.034339,0.107156,0.174491,1770,10114.000,1.1
200,0.166221,0.031965,0.127778,0.165146,1770,10662.000,1.1
200,0.180727,0.036457,0.142395,0.175751,1770,9833.000,1.1
200,0.176678,0.032305,0.139674,0.175701,1770,10056.000,1.1
200,0.181998,0.031785,0.138587,0.181819,1770,9779.000,1.1
200,0.169176,0.046814,0.132616,0.167532,1770,10473.000,1.1
200,0.154458,0.030806,0.109950,0.152701,1770,11493.000,1.1
200,0.151464,0.035378,0.109292,0.150088,1770,11721.000,1.1
200,0.166684,0.038761,0.129071,0.163256,1770,10662.000,1.1
200,0.157826,0.038524,0.117472,0.157138,1770,11273.000,1.1
200,0.161214,0.039501,0.123652,0.160082,1770,10993.000,1.1
200,0.156190,0.036125,0.113289,0.153417,1770,11346.000,1.1
200,0.171866,0.034207,0.128895,0.170860,1770,10350.000,1.1
200,0.153458,0.030613,0.113210,0.151528,1770,11568.000,1.1
200,0.147760,0.032215,0.107542,0.147559,1770,12040.000,1.1
200,0.174378,0.035085,0.132493,0.173084,1770,10172.000,1.1
200,0.139122,0.031142,0.104787,0.138128,1770,12733.000,1.1
200,0.150764,0.039984,0.107858,0.148727,1770,11800.000,1.1
200,0.164139,0.036135,0.111944,0.163786,1770,10792.000,1.1
200,0.186539,0.032782,0.147859,0.185171,1770,9516.000,1.1
