code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.240446,0.096089,0.202574,0.236237,5486,22858.000,1.1
200,0.166344,0.033532,0.121110,0.163775,5486,33048.000,1.1
200,0.157197,0.033272,0.118369,0.154624,5486,34942.000,1.1
200,0.179806,0.031733,0.129998,0.178503,5486,30648.000,1.1
200,0.167310,0.034760,0.117823,0.166352,5486,32850.000,1.1
200,0.171153,0.029519,0.129505,0.167193,5486,32081.000,1.1
200,0.157099,0.030100,0.118183,0.155923,5486,34942.000,1.1
200,0.151856,0.029008,0.106299,0.149807,5486,36331.000,1.1
200,1.276973,1.042579,1.161011,1.275861,5486,4299.000,1.1
200,0.191117,0.042400,0.142405,0.190146,5486,28722.000,1.1
200,0.154750,0.035423,0.116144,0.150134,5486,35623.000,1.1
200,0.170930,0.035110,0.124829,0.167675,5486,32270.000,1.1
200,0.160580,0.033270,0.114653,0.159330,5486,34287.000,1.1
200,0.200658,0.060127,0.155094,0.197140,5486,27430.000,1.1
200,0.154392,0.033721,0.114324,0.153401,5486,35623.000,1.1
200,0.162989,0.034601,0.123301,0.161807,5486,33864.000,1.1
200,0.162021,0.035796,0.118216,0.160135,5486,33864.000,1.1
200,0.175310,0.033869,0.129285,0.173827,5486,31348.000,1.1
200,0.186855,0.044274,0.138649,0.185738,5486,29494.000,1.1
200,0.309723,0.033127,0.258580,0.303258,5486,17754.000,1.1
200,0.155141,0.032010,0.118105,0.153145,5486,35393.000,1.1
200,0.150078,0.033576,0.111688,0.148895,5486,36573.000,1.1
200,0.171586,0.040583,0.119068,0.170145,5486,32081.000,1.1
200,0.181701,0.033091,0.136147,0.180533,5486,30309.000,1.1
200,0.254169,0.033606,0.103744,0.253086,5486,21598.000,1.1
200,0.182517,0.037884,0.137509,0.176555,5486,30142.000,1.1
200,0.153720,0.032237,0.115343,0.149823,5486,35856.000,1.1
200,0.186580,0.037263,0.120857,0.184133,5486,29494.000,1.1
