code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.547073,0.048049,0.169095,0.237523,118108,215919.000,2
200,0.633901,0.057631,0.226219,0.303962,118122,186606.000,2
200,0.571949,0.045477,0.155560,0.226874,117963,206590.000,2
200,0.616037,0.053541,0.174946,0.250791,117957,191488.000,2
200,0.636739,0.058047,0.162879,0.226663,118727,186677.000,2
200,0.546412,0.057352,0.163372,0.235628,117877,215891.000,2
200,0.624422,0.060937,0.182474,0.271147,118239,189485.000,2
200,0.680214,0.049923,0.173119,0.344921,118323,174004.000,2
200,0.646585,0.044810,0.308164,0.378235,118238,183030.000,2
200,0.580899,0.045670,0.152216,0.214203,117975,203405.000,2
200,0.532327,0.041439,0.144058,0.239791,118134,222056.000,2
200,1.653196,1.123185,1.245028,1.323172,117898,71323.000,2
200,0.541819,0.059043,0.184064,0.270556,117975,218068.000,2
200,0.631416,0.044936,0.172113,0.238611,118719,188144.000,2
200,0.629473,0.075543,0.199960,0.277200,117945,187511.000,2
200,0.614138,0.082071,0.207331,0.278021,118408,192846.000,2
200,0.568001,0.079799,0.214217,0.299010,118240,208169.000,2
200,0.721224,0.057533,0.189722,0.396367,118666,164585.000,2
200,0.539399,0.059049,0.198859,0.276349,117890,218719.000,2
200,0.579559,0.057081,0.216078,0.301887,117896,203620.000,2
200,0.644713,0.057639,0.219940,0.308045,117881,183045.000,2
200,0.578692,0.058269,0.180530,0.258677,117881,203946.000,2
200,0.564294,0.061747,0.164248,0.269884,118331,209806.000,2
200,0.742756,0.041602,0.166894,0.402325,118675,159939.000,2
200,0.676395,0.046614,0.148583,0.357065,119024,176071.000,2
200,0.601776,0.047121,0.143696,0.237087,119117,198198.000,2
200,0.640406,0.067092,0.187985,0.288552,118627,185354.000,2
200,0.609729,0.116287,0.238871,0.312261,117682,193238.000,2
200,0.804789,0.065188,0.221403,0.475656,118831,147799.000,2
200,0.779703,0.122591,0.279382,0.403975,118861,152581.000,2
200,0.549521,0.047163,0.161921,0.240143,118887,216551.000,2
200,0.594378,0.053872,0.197482,0.272507,118280,199124.000,2
200,0.577325,0.048432,0.189448,0.271436,118275,204982.000,2
