code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.594289,0.076284,0.180841,0.247125,651502,1096804.000,2
200,0.670079,0.040496,0.146277,0.219546,654577,976980.000,2
200,0.594220,0.046712,0.148134,0.220789,657631,1107122.000,2
200,0.695401,0.050618,0.204002,0.287370,651541,937469.000,2
200,0.755828,0.063206,0.213444,0.313132,654535,866933.000,2
200,0.577120,0.051077,0.169165,0.255141,651270,1128717.000,2
200,0.580710,0.044211,0.157002,0.235685,658055,1134577.000,2
200,0.760473,0.037655,0.137019,0.287339,655724,862794.000,2
200,0.624648,0.049482,0.168807,0.263742,651516,1044096.000,2
200,0.559479,0.044825,0.161147,0.230013,651471,1165422.000,2
200,0.621629,0.051256,0.164968,0.242642,651477,1049077.000,2
200,0.771783,0.061134,0.207581,0.294161,651992,845644.000,2
200,0.661456,0.049966,0.206295,0.291572,648783,981517.000,2
200,0.590314,0.047805,0.147626,0.219477,651142,1103630.000,2
200,0.601524,0.043071,0.144418,0.214610,654655,1089276.000,2
200,0.672258,0.061874,0.193095,0.270848,651169,969001.000,2
200,0.853750,0.042128,0.151039,0.376995,651069,763269.000,2
200,0.655729,0.050649,0.170662,0.257994,651514,994677.000,2
200,0.585191,0.048578,0.163165,0.239261,651471,1113625.000,2
200,0.630760,0.043627,0.143455,0.209068,658050,1044523.000,2
200,0.571592,0.045601,0.153777,0.222829,652177,1142166.000,2
200,0.621399,0.043906,0.143832,0.230538,651472,1049069.000,2
200,0.662795,0.068851,0.190501,0.266426,651475,984101.000,2
200,0.823933,0.041379,0.214388,0.390898,651404,791499.000,2
200,0.604237,0.040829,0.143402,0.222106,651797,1079134.000,2
200,0.906769,0.038282,0.154489,0.378980,651399,718983.000,2
200,0.619320,0.044136,0.146514,0.209307,651826,1053030.000,2
200,0.668700,0.048872,0.184482,0.292504,658050,985104.000,2
200,0.652281,0.053416,0.178399,0.254405,654537,1003891.000,2
200,0.760214,0.065047,0.170073,0.363833,654777,861548.000,2
200,0.625080,0.046992,0.164192,0.238368,651148,1041836.000,2
200,0.675324,0.064213,0.183711,0.265907,655693,971397.000,2
200,0.765121,0.041784,0.184652,0.263526,651471,851596.000,2
200,0.630514,0.047889,0.148760,0.208333,652178,1035203.000,2
200,2.504630,0.049533,0.170559,0.636559,651877,260334.000,2
200,0.609102,0.049702,0.179778,0.258464,651509,1069801.000,2
200,0.619629,0.048351,0.152288,0.226541,651793,1052977.000,2
200,0.573353,0.036784,0.144054,0.206499,651832,1137577.000,2
