code,time_total,time_connect,time_appconnect,time_starttransfer,size_downloaded,speed_download,http_version
200,0.350110,0.087131,0.154376,0.181435,301063,860180.000,2
200,0.285644,0.031501,0.113783,0.142535,301063,1056361.000,2
200,0.230814,0.031898,0.090504,0.116663,301063,1308969.000,2
200,0.243935,0.024482,0.095693,0.133778,301063,1238942.000,2
200,0.240431,0.019790,0.083817,0.128473,301063,1254429.000,2
200,0.315909,0.027989,0.101281,0.128413,301063,955755.000,2
200,0.299625,0.037697,0.123859,0.158171,301063,1006899.000,2
200,0.243453,0.028176,0.094951,0.124836,301063,1238942.000,2
200,0.296761,0.033942,0.097154,0.126079,301063,1017104.000,2
200,0.262643,0.033742,0.107157,0.139391,301063,1149095.000,2
200,0.244071,0.022272,0.082364,0.109612,301063,1233864.000,2
200,0.284112,0.025418,0.098137,0.133459,301063,1060080.000,2
200,0.320863,0.026099,0.106342,0.138995,301063,940821.000,2
200,0.242250,0.021440,0.093168,0.121004,301063,1244061.000,2
200,0.240657,0.021072,0.074681,0.102224,301063,1254429.000,2
200,0.288559,0.023593,0.099552,0.154933,301063,1045357.000,2
200,0.246541,0.019535,0.080996,0.110301,301063,1223833.000,2
200,0.262029,0.019401,0.102528,0.130430,301063,1149095.000,2
200,0.223260,0.022933,0.080800,0.114290,301063,1350058.000,2
200,0.253045,0.028836,0.087696,0.113684,301063,1189972.000,2
200,0.224538,0.025780,0.075610,0.102521,301063,1344031.000,2
200,0.222239,0.025470,0.080279,0.108564,301063,1356139.000,2
200,0.247751,0.029081,0.112574,0.140449,301063,1218878.000,2
200,0.306213,0.027946,0.088417,0.116104,301063,983866.000,2
200,0.244996,0.028533,0.094388,0.123011,301063,1233864.000,2
200,0.241990,0.025424,0.085585,0.117741,301063,1249224.000,2
200,0.240763,0.027553,0.090342,0.119818,301063,1254429.000,2
200,0.269856,0.047017,0.123472,0.151349,301063,1119193.000,2
200,0.230683,0.023416,0.077751,0.105378,301063,1308969.000,2
200,0.252742,0.019676,0.086844,0.114733,301063,1194694.000,2
200,0.236411,0.030854,0.095248,0.122619,301063,1275690.000,2
200,0.276682,0.027000,0.091434,0.153073,301063,1090807.000,2
200,0.330290,0.031540,0.092837,0.122973,301063,912312.000,2
200,0.229033,0.021048,0.081501,0.110118,301063,1314685.000,2
200,0.317283,0.021376,0.085610,0.118405,301063,949725.000,2
200,0.237485,0.023090,0.080366,0.116577,301063,1270308.000,2
200,0.237599,0.029741,0.088543,0.117003,301063,1270308.000,2
200,0.250033,0.023756,0.091806,0.119312,301063,1204252.000,2
200,0.216695,0.023324,0.081681,0.112159,301063,1393810.000,2
200,0.248044,0.027400,0.093243,0.122872,301063,1213963.000,2
200,0.229935,0.022013,0.082623,0.110679,301063,1314685.000,2
200,0.282075,0.019900,0.095197,0.131079,301063,1067599.000,2
200,0.249755,0.023681,0.097322,0.142089,301063,1209088.000,2
200,0.302563,0.034227,0.100784,0.129268,301063,996897.000,2
200,0.309446,0.024750,0.147783,0.175636,301063,974313.000,2
200,0.297025,0.031482,0.092408,0.121293,301063,1013680.000,2
200,0.281275,0.020519,0.091316,0.153416,301063,1071398.000,2
200,0.346101,0.027271,0.155103,0.181648,301063,870124.000,2
200,0.243975,0.021792,0.082947,0.114913,301063,1238942.000,2
200,0.234020,0.024967,0.083663,0.117352,301063,1286594.000,2
200,0.284991,0.022467,0.103528,0.142603,301063,1060080.000,2
200,0.247282,0.021071,0.089214,0.118223,301063,1218878.000,2
200,0.359037,0.034367,0.154100,0.227541,301063,838615.000,2
200,0.332936,0.043752,0.127616,0.195679,301063,906816.000,2
200,0.274429,0.019032,0.078737,0.107640,301063,1098770.000,2
200,0.234242,0.024120,0.085747,0.116981,301063,1286594.000,2
200,0.254378,0.024780,0.086973,0.117283,301063,1185287.000,2
200,0.261168,0.023695,0.094223,0.124137,301063,1153498.000,2
200,0.566081,0.025337,0.398460,0.427508,301063,531913.000,2
200,0.317428,0.028896,0.092511,0.133294,301063,949725.000,2
200,0.258798,0.029385,0.096866,0.128192,301063,1166910.000,2
200,0.246087,0.047844,0.108821,0.135558,301063,1223833.000,2
